epoch,accuracy,auc,loss,precision,recall
0,0.37011295557022095,0.5414620637893677,1.0990021228790283,0.0,0.0
1,0.39270201325416565,0.6189548969268799,1.1835235357284546,0.4488188922405243,0.04952215775847435
2,0.5108601450920105,0.7732051610946655,1.0246760845184326,0.7543859481811523,0.03735882043838501
3,0.6203301548957825,0.7045446634292603,1.3289788961410522,0.5111939907073975,0.23805387318134308
4,0.7593397498130798,0.8544436693191528,0.9849127531051636,0.6837349534034729,0.1972198188304901
5,0.8470895290374756,0.8930851221084595,0.8401240706443787,0.804804801940918,0.23284101486206055
6,0.9157254695892334,0.9428544640541077,0.6431446671485901,0.9349186420440674,0.649000883102417
7,0.9200695157051086,0.9749329090118408,0.42938700318336487,0.9314442873001099,0.8853171467781067
8,0.8913987874984741,0.9779039025306702,0.3354589641094208,0.904805064201355,0.8670721650123596
9,0.9331016540527344,0.9839534759521484,0.2738931179046631,0.9430097937583923,0.9200695157051086
10,0.9122502207756042,0.948545515537262,0.3914152979850769,0.9157894849777222,0.9070373773574829
11,0.8896611928939819,0.9427593946456909,0.41184407472610474,0.8942731618881226,0.8818418979644775
12,0.8957428336143494,0.9667996168136597,0.3523569107055664,0.9007030129432678,0.890529990196228
13,0.9417898058891296,0.9898015260696411,0.18479974567890167,0.9463971853256226,0.9357081055641174
14,0.9365769028663635,0.9961734414100647,0.132611945271492,0.9380453824996948,0.9339705109596252
15,0.9565595388412476,0.9982025623321533,0.10385838896036148,0.9614373445510864,0.9530842900276184
16,0.964378833770752,0.9987328052520752,0.08718185126781464,0.9660278558731079,0.9635100364685059
17,0.9895743131637573,0.9997034668922424,0.0773804634809494,0.9895379543304443,0.9860990643501282
18,0.9808862209320068,0.9996104836463928,0.06630545854568481,0.9817232489585876,0.9800174236297607
19,0.966985285282135,0.9992243647575378,0.07180902361869812,0.9678261280059814,0.966985285282135
20,0.9721981287002563,0.9976876974105835,0.06429145485162735,0.9721739292144775,0.9713293313980103
21,0.9739357233047485,0.9995845556259155,0.04946146160364151,0.9738903641700745,0.9721981287002563
22,0.9947871565818787,0.9998964071273804,0.052246276289224625,0.9947826266288757,0.9939183592796326
23,0.9774109721183777,0.9996191263198853,0.04734070226550102,0.9773913025856018,0.9765421748161316
24,0.9687228798866272,0.996650218963623,0.0927395299077034,0.9686957001686096,0.9678540825843811
25,0.9852302670478821,0.9991544485092163,0.05342913046479225,0.9852173924446106,0.984361469745636
26,0.9765421748161316,0.9989189505577087,0.06145555526018143,0.9773913025856018,0.9765421748161316
27,0.9209383726119995,0.9913855195045471,0.20902574062347412,0.9248251914978027,0.9192007184028625
28,0.7871416211128235,0.959240734577179,0.3737536072731018,0.7878261208534241,0.7871416211128235
29,0.907906174659729,0.974550187587738,0.31065234541893005,0.9086162447929382,0.9070373773574829
30,0.9157254695892334,0.9848149418830872,0.24944083392620087,0.9156522154808044,0.9148566722869873
